Document_No,Day_No,Menu_1,Menu_2,Date/time
279,1,"चहा,उपमा,पोळी,पत्ता कोबी,टमाटर चटणी","चहा,उपमा,पोळी",2018-05-27 04:59:20.702135+00:00
279,2,"चहा,दूध,शिरा,पोळी,पत्ता कोबी,पालक वरण","चहा,पोळी",2018-05-27 04:59:55.870506+00:00
279,3,"चहा,दूध,पोहे,कढी,पोळी,भात,पत्ता कोबी",चहा,2018-05-27 05:00:30.943362+00:00
280,1,"चहा,उपमा,पोळी,भात,बेसन,पालक वरण","चहा,उपमा,पोळी",2018-05-27 05:03:13.871970+00:00
280,2,"चहा,पोहे,पोळी,भात,पत्ता कोबी,आलूची भाजी",पोळी,2018-05-27 05:03:45.308663+00:00
280,3,"चहा,दूध,साबुदाणा उसळ,पोळी,भात,आलूची भाजी",चहा,2018-05-27 05:04:10.190524+00:00
281,1,"चहा,दूध,पोहे,वाटाणा उसळ,पोळी,आलूची भाजी","चहा,पोहे,पत्ता कोबी",2018-05-27 05:06:15.233615+00:00
281,2,"चहा,उपमा,पोळी,मेथीची भाजी,पालक वरण","चहा,उपमा,पोळी,पालक वरण",2018-05-27 05:05:35.631155+00:00
281,3,"चहा,उपमा,कढी,पोळी,भात,मेथीची भाजी,पालक वरण","चहा,उपमा,भात",2018-05-27 05:06:50.377608+00:00
282,1,"चहा,दूध,शिरा,पोळी,पालक वरण,आलूची भाजी","चहा,पोळी",2018-05-27 05:07:39.214405+00:00
282,2,"चहा,दूध,पोहे,पोळी,पत्ता कोबी,पालक वरण,आलूची भाजी",पोळी,2018-05-27 05:08:13.082863+00:00
282,3,"चहा,शिरा,पोळी,भात,मेथीची भाजी,पालक वरण","चहा,पोळी",2018-05-27 05:08:40.585578+00:00
283,1,"चहा,दूध,पोहे,पोळी,मेथीची भाजी,पालक वरण,आलूची भाजी","चहा,पोळी",2018-05-27 05:10:00.741092+00:00
283,2,"चहा,दूध,साबुदाणा उसळ,पोळी,पत्ता कोबी,पालक वरण",चहा,2018-05-27 05:10:41.048059+00:00
283,3,"चहा,दूध,उपमा,पोळी,पत्ता कोबी,मेथीची भाजी,पालक वरण","चहा,उपमा,पोळी",2018-05-27 05:11:25.614793+00:00
284,1,"चहा,पोहे,पोळी,पत्ता कोबी,पालक वरण,आलूची भाजी","चहा,पोहे,पोळी",2018-05-27 05:14:04.059898+00:00
284,2,"चहा,दूध,शिरा,पोळी,भात,पत्ता कोबी,पालक वरण","चहा,पोळी",2018-05-27 05:14:38.121616+00:00
284,3,"चहा,दूध,पोहे,पोळी,पत्ता कोबी,पालक वरण","चहा,दूध,पोळी",2018-05-27 05:15:17.335610+00:00
285,1,"चहा,ब्रेड,दूध,पोळी,पत्ता कोबी,मेथीची भाजी,पालक वरण","दूध,पोळी",2018-05-27 05:22:10.527499+00:00
285,2,"चहा,दूध,शिरा,कढी,पोळी,पत्ता कोबी,पालक वरण","चहा,पोळी",2018-05-27 05:22:54.318684+00:00
285,3,"चहा,पोहे,पोळी,पत्ता कोबी,वांग्याची भाजी","चहा,पोहे,पोळी",2018-05-27 05:23:30.956334+00:00
286,1,"चहा,दूध,पोळी,पत्ता कोबी,पालक वरण","चहा,दूध,पोळी,पालक वरण",2018-05-27 05:25:17.007509+00:00
286,2,"चहा,दूध,शिरा,पोळी,पत्ता कोबी,पालक वरण,वांग्याची भाजी","चहा,पोळी",2018-05-27 05:26:32.225677+00:00
286,3,"चहा,दूध,पोहे,पोळी,भात,मेथीची भाजी,आलूची भाजी","चहा,पोळी",2018-05-27 05:27:11.515246+00:00
287,1,"चहा,दूध,उपमा,पोळी,पत्ता कोबी","चहा,दूध,पोळी,टमाटर चटणी",2018-05-27 05:28:56.120262+00:00
287,2,"चहा,पोहे,पोळी,पत्ता कोबी,मेथीची भाजी,पालक वरण","चहा,पोहे,पोळी",2018-05-27 05:29:30.550473+00:00
287,3,"चहा,उपमा,पोळी,भात,पालक वरण,वांग्याची भाजी","चहा,उपमा,पोळी",2018-05-27 05:30:03.846470+00:00
288,1,"चहा,ब्रेड,उपमा,पोळी,मेथीची भाजी,पालक वरण,वांग्याची भाजी","चहा,पोळी",2018-05-27 05:31:38.372873+00:00
288,2,"चहा,दूध,पोहे,पोळी,मेथीची भाजी,पालक वरण,टमाटर चटणी","चहा,पोळी",2018-05-27 05:32:23.608725+00:00
