Document_No,Day_No,Menu_1,Menu_2,Date/time
67,2,"चहा,मटकीची उसळ,पोळी,पत्ता कोबी,टमाटर चटणी","चहा,पोळी",2018-05-24 14:06:00.325546+00:00
67,3,"चहा,उपमा,पोळी,पत्ता कोबी,वांग्याची भाजी","चहा,पोळी",2018-05-24 14:06:36.776592+00:00
68,1,"चहा,उपमा,पोळी,भात,डाळ पालक,वांग्याची भाजी","चहा,उपमा,पोळी",2018-05-24 14:08:00.518134+00:00
68,2,"चहा,दूध,उपमा,मटकीची उसळ,पोळी,आलूची भाजी","चहा,उपमा,पोळी",2018-05-24 14:08:48.892379+00:00
68,3,"चहा,उपमा,पोळी,खिचडी,बेसन,टमाटर चटणी","चहा,उपमा",2018-05-24 14:09:25.567748+00:00
69,1,"चहा,दूध,पोहे,पोळी,भात,बेसन,मेथीची भाजी,पालक वरण","चहा,पोळी",2018-05-24 14:10:56.931663+00:00
69,2,"चहा,उपमा,पोळी,पत्ता कोबी,डाळ पालक","चहा,उपमा,पोळी",2018-05-24 14:11:48.441405+00:00
69,3,"चहा,दूध,पोळी,भात,बेसन,वांग्याची भाजी","पोळी,वांग्याची भाजी",2018-05-24 14:12:37.621989+00:00
70,1,"चहा,उपमा,पोळी,भात,बेसन,वांग्याची भाजी","पोळी,बेसन",2018-05-24 14:15:57.030201+00:00
70,1,"चहा,उपमा,पोळी,भात,खिचडी,बेसन,वांग्याची भाजी",,2018-05-24 14:14:28.679480+00:00
70,2,"चहा,उपमा,पोळी,भात,पत्ता कोबी,डाळ पालक","पोळी,भात,डाळ पालक",2018-05-24 14:16:56.137710+00:00
71,1,"बिस्कीट,दूध,पोळी,भात,खिचडी,बेसन,मेथीची भाजी,पालक वरण","चहा,दूध",2018-05-24 14:18:02.788240+00:00
71,2,"दूध,उपमा,पोळी,भात,डाळ पालक,वांग्याची भाजी","चहा,दूध,उपमा,पोळी",2018-05-24 14:19:02.238456+00:00
